transaction_id,date,customer_id,product_id,store_id,quantity,unit_price,discount
T-1089,2023-03-18,CUST-196,P003,ST-3,2.0,120.0,0.0
T-1090,13/11/2023,CUST-115,P003,ST-2,1.0,120.0,0.2
T-1091,2023-11-30,CUST-176,P003,ST-4,4.0,120.0,0.0
T-1092,2023-04-26,CUST-139,P002,ST-3,2.0,225.0,0.0
T-1093,2023-10-19,CUST-119,P003,ST-3,4.0,120.0,0.0
T-1094,2023-03-08,CUST-152,P005,ST-4,5.0,67.5,0.1
T-1095,2023-05-09,CUST-153,P003,ST-1,1.0,120.0,0.1
T-1096,2023-01-27,CUST-145,P004,ST-4,3.0,37.5,0.0
T-1097,2023-03-05,CUST-164,P001,ST-2,2.0,300.0,0.1
T-1098,2023-10-17,CUST-132,P002,ST-3,5.0,225.0,0.0
T-1099,2023-01-13,CUST-134,P004,ST-1,1.0,37.5,0.0
T-1100,13/03/2023,CUST-124,P001,ST-4,,300.0,0.0
T-1101,2023-03-24,CUST-131,P004,ST-5,2.0,37.5,0.2
T-1102,2023-12-08,CUST-108,P002,ST-5,2.0,225.0,0.0
T-1103,2023-09-22,CUST-168,P004,ST-4,3.0,37.5,0.0
T-1104,2023-05-13,CUST-180,P003,ST-4,4.0,120.0,0.1
T-1105,2023-09-04,CUST-150,P004,ST-2,3.0,37.5,0.2
T-1106,2023-03-19,CUST-109,P004,ST-1,1.0,37.5,0.0
T-1107,2023-08-07,CUST-168,P002,ST-2,1.0,225.0,0.2
T-1108,2023-09-13,CUST-184,P005,ST-2,2.0,67.5,0.1
T-1109,2023-06-13,CUST-124,P003,ST-1,4.0,120.0,0.2
T-1110,11/03/2023,CUST-123,P003,ST-5,2.0,120.0,0.0
T-1111,2023-06-17,CUST-144,P004,ST-3,2.0,37.5,0.0
T-1112,2023-06-18,CUST-103,P001,ST-2,4.0,300.0,0.2
T-1113,2023-08-11,CUST-190,P002,ST-4,5.0,225.0,0.0
T-1114,2023-08-20,CUST-149,P004,ST-2,3.0,37.5,0.0
T-1115,2023-12-06,CUST-121,P003,ST-1,1.0,120.0,0.0
T-1116,2023-06-21,CUST-160,P001,ST-1,5.0,300.0,0.2
T-1117,2023-04-24,CUST-149,P001,ST-3,2.0,300.0,0.0
T-1118,2023-06-12,CUST-174,P001,ST-2,2.0,300.0,0.2
T-1119,2023-07-21,CUST-118,P001,ST-2,1.0,300.0,0.0
T-1120,22/07/2023,CUST-199,P004,ST-1,4.0,37.5,0.0
T-1121,2023-05-22,CUST-144,P003,ST-1,3.0,120.0,0.1
T-1122,2023-06-18,CUST-166,P005,ST-1,3.0,67.5,0.0
T-1123,2023-10-12,CUST-114,P002,ST-3,3.0,225.0,0.0
T-1124,2023-11-29,CUST-170,P003,ST-4,2.0,120.0,0.0
T-1125,2023-01-25,CUST-150,P005,ST-1,5.0,67.5,0.0
T-1126,2023-09-27,CUST-187,P003,ST-4,4.0,120.0,0.0
T-1127,2023-08-23,CUST-146,P002,ST-1,3.0,225.0,0.0
T-1128,2023-02-24,CUST-143,P002,ST-5,2.0,225.0,0.0
T-1129,2023-03-31,CUST-170,P002,ST-1,2.0,225.0,0.0
T-1130,10/12/2023,CUST-162,P001,ST-4,3.0,300.0,0.2
T-1131,2023-09-21,CUST-154,P003,ST-1,3.0,120.0,0.1
T-1132,2023-08-04,CUST-169,P002,ST-5,5.0,225.0,0.2
T-1133,2023-12-10,CUST-160,P001,ST-2,4.0,300.0,0.0
T-1134,2023-06-26,CUST-121,P002,ST-4,4.0,225.0,0.0
T-1135,2023-04-30,CUST-126,P005,ST-5,4.0,67.5,0.1
T-1136,2023-06-24,CUST-149,P005,ST-5,2.0,67.5,0.1
T-1137,2023-11-25,CUST-181,P003,ST-2,4.0,120.0,0.1
T-1138,2023-04-30,CUST-112,P001,ST-4,3.0,300.0,0.0
T-1139,2023-01-29,CUST-182,P003,ST-3,3.0,120.0,0.1
T-1140,15/08/2023,CUST-174,P005,ST-2,3.0,67.5,0.0
T-1141,2023-01-28,CUST-146,P005,ST-1,3.0,67.5,0.0
T-1142,2023-08-11,CUST-168,P002,ST-5,3.0,225.0,0.0
T-1143,2023-02-12,CUST-172,P001,ST-2,3.0,300.0,0.0
T-1144,2023-02-28,CUST-132,P002,ST-2,4.0,225.0,0.2
T-1145,2023-02-07,CUST-106,P002,ST-5,5.0,225.0,0.1
T-1146,2023-08-10,CUST-101,P003,ST-4,3.0,120.0,0.0
T-1147,2023-01-16,CUST-163,P002,ST-2,4.0,225.0,0.1
T-1148,2023-11-10,CUST-145,P001,ST-2,4.0,300.0,0.1
T-1149,2023-08-11,CUST-182,P005,ST-4,4.0,67.5,0.0
T-1150,24/09/2023,CUST-146,P001,ST-2,,300.0,0.0
T-1151,2023-01-04,CUST-119,P003,ST-2,5.0,120.0,0.2
T-1152,2023-10-18,CUST-196,P005,ST-1,1.0,67.5,0.1
T-1153,2023-04-05,CUST-176,P004,ST-3,2.0,37.5,0.1
T-1154,2023-05-23,CUST-198,P005,ST-2,1.0,67.5,0.0
T-1155,2023-03-17,CUST-199,P004,ST-5,4.0,37.5,0.0
T-1156,2023-06-30,CUST-147,P002,ST-5,1.0,225.0,0.0
T-1157,2023-08-23,CUST-179,P001,ST-1,5.0,300.0,0.0
T-1158,2023-11-17,CUST-146,P004,ST-1,3.0,37.5,0.0
T-1159,2023-03-29,CUST-114,P002,ST-4,4.0,225.0,0.1
T-1160,15/03/2023,CUST-181,P005,ST-2,1.0,67.5,0.0
T-1161,2023-10-17,CUST-158,P004,ST-2,2.0,37.5,0.0
T-1162,2023-06-23,CUST-162,P002,ST-4,1.0,225.0,0.0
T-1163,2023-01-15,CUST-171,P005,ST-1,3.0,67.5,0.0
T-1164,2023-10-03,CUST-152,P003,ST-2,5.0,120.0,0.2
T-1165,2023-04-17,CUST-151,P003,ST-4,4.0,120.0,0.0
T-1166,2023-08-13,CUST-104,P004,ST-3,1.0,37.5,0.1
T-1167,2023-03-26,CUST-184,P002,ST-2,5.0,225.0,0.0
T-1168,2023-12-11,CUST-173,P003,ST-5,5.0,120.0,0.0
T-1169,2023-04-20,CUST-126,P005,ST-4,1.0,67.5,0.2
T-1170,27/07/2023,CUST-156,P003,ST-4,5.0,120.0,0.0
T-1171,2023-01-02,CUST-110,P002,ST-1,2.0,225.0,0.1
T-1172,2023-03-06,CUST-189,P005,ST-3,1.0,67.5,0.1
T-1173,2023-12-09,CUST-188,P005,ST-4,1.0,67.5,0.0
T-1174,2023-02-20,CUST-159,P005,ST-5,5.0,67.5,0.0
T-1175,2023-10-07,CUST-106,P003,ST-1,4.0,120.0,0.1
T-1176,2023-08-17,CUST-142,P001,ST-4,2.0,300.0,0.0
T-1177,2023-08-21,CUST-138,P005,ST-1,4.0,67.5,0.1
T-1178,2023-11-16,CUST-116,P002,ST-3,2.0,225.0,0.1
T-1179,2023-06-02,CUST-119,P002,ST-2,1.0,225.0,0.0
T-1180,23/10/2023,CUST-140,P005,ST-1,2.0,67.5,0.0
T-1181,2023-11-29,CUST-157,P002,ST-4,4.0,225.0,0.2
T-1182,2023-06-14,CUST-169,P003,ST-2,1.0,120.0,0.0
T-1183,2023-10-16,CUST-198,P004,ST-5,3.0,37.5,0.0
T-1184,2023-09-07,CUST-161,P001,ST-4,2.0,300.0,0.0
T-1185,2023-10-31,CUST-178,P002,ST-2,1.0,225.0,0.1
T-1186,2023-06-29,CUST-157,P004,ST-1,2.0,37.5,0.0
T-1187,2023-03-15,CUST-105,P005,ST-4,3.0,67.5,0.2
T-1188,2023-01-16,CUST-179,P005,ST-5,1.0,67.5,0.0
T-1189,2023-01-16,CUST-154,P005,ST-4,2.0,67.5,0.1
T-1190,24/09/2023,CUST-143,P005,ST-1,3.0,67.5,0.0
T-1191,2023-01-06,CUST-110,P004,ST-2,4.0,37.5,0.0
T-1192,2023-02-27,CUST-192,P004,ST-1,1.0,37.5,0.0
T-1193,2023-06-30,CUST-187,P001,ST-2,4.0,300.0,0.0
T-1194,2023-09-06,CUST-103,P004,ST-4,1.0,37.5,0.0
T-1195,2023-03-08,CUST-168,P003,ST-4,3.0,120.0,0.0
T-1196,2023-01-12,CUST-110,P004,ST-1,5.0,37.5,0.0
T-1197,2023-09-06,CUST-154,P005,ST-5,4.0,67.5,0.1
T-1198,2023-09-19,CUST-164,P002,ST-4,3.0,225.0,0.0
T-1199,2023-01-25,CUST-191,P002,ST-5,1.0,225.0,0.0
T-1200,24/12/2023,CUST-124,P001,ST-3,,300.0,0.0
T-1201,2023-03-04,CUST-156,P003,ST-4,1.0,120.0,0.0
T-1202,2023-11-11,CUST-196,P001,ST-2,1.0,300.0,0.0
T-1203,2023-07-17,CUST-165,P003,ST-3,5.0,120.0,0.0
T-1204,2023-01-10,CUST-101,P001,ST-4,4.0,300.0,0.0
T-1205,2023-02-15,CUST-125,P003,ST-5,3.0,120.0,0.0
T-1206,2023-09-01,CUST-198,P002,ST-4,4.0,225.0,0.1
T-1207,2023-05-06,CUST-136,P003,ST-4,1.0,120.0,0.0
T-1208,2023-08-29,CUST-128,P005,ST-1,4.0,67.5,0.0
T-1209,2023-09-08,CUST-115,P003,ST-5,5.0,120.0,0.0
T-1210,10/12/2023,CUST-188,P005,ST-4,4.0,67.5,0.0
T-1211,2023-10-23,CUST-193,P003,ST-3,4.0,120.0,0.0
T-1212,2023-01-20,CUST-102,P001,ST-4,3.0,300.0,0.0
T-1213,2023-07-24,CUST-170,P004,ST-4,1.0,37.5,0.0
T-1214,2023-04-30,CUST-119,P002,ST-4,4.0,225.0,0.0
T-1215,2023-04-27,CUST-122,P003,ST-4,1.0,120.0,0.0
T-1216,2023-01-22,CUST-135,P005,ST-5,3.0,67.5,0.2
T-1217,2023-10-14,CUST-180,P003,ST-4,5.0,120.0,0.2
T-1218,2023-11-24,CUST-174,P003,ST-3,1.0,120.0,0.1
T-1219,2023-06-12,CUST-106,P005,ST-5,3.0,67.5,0.0
T-1220,28/03/2023,CUST-135,P005,ST-3,2.0,67.5,0.2
T-1221,2023-03-09,CUST-106,P001,ST-3,3.0,300.0,0.1
T-1222,2023-01-30,CUST-196,P005,ST-3,5.0,67.5,0.2
T-1223,2023-07-12,CUST-115,P004,ST-5,4.0,37.5,0.0
T-1224,2023-07-19,CUST-193,P003,ST-1,4.0,120.0,0.0
T-1225,2023-04-16,CUST-119,P004,ST-5,5.0,37.5,0.0
T-1226,2023-04-26,CUST-183,P005,ST-3,4.0,67.5,0.2
T-1227,2023-07-13,CUST-157,P001,ST-2,3.0,300.0,0.0
T-1228,2023-04-16,CUST-144,P001,ST-4,4.0,300.0,0.0
T-1229,2023-05-31,CUST-113,P005,ST-5,5.0,67.5,0.2
T-1230,03/05/2023,CUST-194,P003,ST-4,5.0,120.0,0.0
T-1231,2023-09-13,CUST-195,P005,ST-5,5.0,67.5,0.0
T-1232,2023-05-31,CUST-101,P003,ST-2,1.0,120.0,0.1
T-1233,2023-10-14,CUST-156,P005,ST-3,2.0,67.5,0.0
T-1234,2023-08-26,CUST-114,P002,ST-4,2.0,225.0,0.0
T-1235,2023-10-04,CUST-163,P005,ST-5,2.0,67.5,0.2
T-1236,2023-09-19,CUST-138,P002,ST-5,3.0,225.0,0.0
T-1237,2023-04-02,CUST-188,P005,ST-2,5.0,67.5,0.2
T-1238,2023-04-09,CUST-107,P002,ST-5,1.0,225.0,0.1
T-1239,2023-11-02,CUST-188,P005,ST-4,3.0,67.5,0.1
T-1240,22/09/2023,CUST-169,P005,ST-4,2.0,67.5,0.1
T-1241,2023-04-30,CUST-175,P002,ST-1,4.0,225.0,0.0
T-1242,2023-08-25,CUST-181,P001,ST-1,4.0,300.0,0.1
T-1243,2023-01-05,CUST-115,P001,ST-1,3.0,300.0,0.0
T-1244,2023-03-30,CUST-106,P002,ST-5,1.0,225.0,0.0
T-1245,2023-08-31,CUST-158,P001,ST-3,3.0,300.0,0.0
T-1246,2023-10-29,CUST-129,P004,ST-4,3.0,37.5,0.0
T-1247,2023-05-20,CUST-169,P004,ST-3,4.0,37.5,0.0
T-1248,2023-06-17,CUST-113,P005,ST-4,3.0,67.5,0.0
T-1249,2023-10-11,CUST-140,P005,ST-3,5.0,67.5,0.0
T-1250,21/05/2023,CUST-155,P004,ST-4,,37.5,0.2
T-1251,2023-11-11,CUST-190,P002,ST-5,4.0,225.0,0.0
T-1252,2023-01-13,CUST-147,P001,ST-2,2.0,300.0,0.0
T-1253,2023-01-01,CUST-145,P002,ST-1,2.0,225.0,0.0
T-1254,2023-07-10,CUST-163,P001,ST-5,5.0,300.0,0.0
T-1255,2023-09-24,CUST-165,P004,ST-3,2.0,37.5,0.0
T-1256,2023-06-03,CUST-115,P003,ST-1,5.0,120.0,0.1
T-1257,2023-04-10,CUST-179,P004,ST-3,2.0,37.5,0.1
T-1258,2023-07-16,CUST-165,P001,ST-2,1.0,300.0,0.0
T-1259,2023-11-29,CUST-117,P003,ST-2,2.0,120.0,0.0
T-1260,13/09/2023,CUST-169,P002,ST-1,2.0,225.0,0.0
T-1261,2023-07-15,CUST-133,P002,ST-5,4.0,225.0,0.0
T-1262,2023-06-25,CUST-178,P002,ST-1,5.0,225.0,0.1
T-1263,2023-06-12,CUST-184,P002,ST-1,4.0,225.0,0.0
T-1264,2023-03-16,CUST-143,P003,ST-3,1.0,120.0,0.0
T-1265,2023-08-06,CUST-124,P003,ST-4,1.0,120.0,0.2
T-1266,2023-10-24,CUST-101,P004,ST-4,5.0,37.5,0.1
T-1267,2023-04-16,CUST-127,P002,ST-3,1.0,225.0,0.2
T-1268,2023-12-18,CUST-170,P003,ST-5,3.0,120.0,0.0
T-1269,2023-06-18,CUST-189,P003,ST-5,2.0,120.0,0.0
T-1270,31/05/2023,CUST-153,P002,ST-5,5.0,225.0,0.0
T-1271,2023-06-30,CUST-162,P001,ST-4,4.0,300.0,0.2
T-1272,2023-08-18,CUST-108,P003,ST-2,5.0,120.0,0.0
T-1273,2023-07-20,CUST-185,P005,ST-3,3.0,67.5,0.0
T-1274,2023-07-29,CUST-193,P004,ST-3,3.0,37.5,0.0
T-1275,2023-08-24,CUST-136,P005,ST-1,1.0,67.5,0.0
T-1276,2023-07-23,CUST-102,P002,ST-5,3.0,225.0,0.0
T-1277,2023-07-25,CUST-160,P004,ST-3,3.0,37.5,0.0
T-1278,2023-02-28,CUST-110,P003,ST-1,4.0,120.0,0.0
T-1279,2023-11-21,CUST-183,P005,ST-5,3.0,67.5,0.1
T-1280,15/07/2023,CUST-119,P003,ST-1,4.0,120.0,0.2
T-1281,2023-07-16,CUST-157,P005,ST-2,4.0,67.5,0.0
T-1282,2023-11-11,CUST-178,P002,ST-5,5.0,225.0,0.1
T-1283,2023-05-14,CUST-111,P004,ST-5,3.0,37.5,0.2
T-1284,2023-03-17,CUST-197,P005,ST-1,5.0,67.5,0.0
T-1285,2023-11-30,CUST-117,P002,ST-5,3.0,225.0,0.1
T-1286,2023-02-23,CUST-152,P004,ST-2,1.0,37.5,0.2
T-1287,2023-09-24,CUST-153,P005,ST-5,3.0,67.5,0.1
T-1288,2023-08-26,CUST-169,P002,ST-1,1.0,225.0,0.1
T-1289,2023-07-19,CUST-156,P005,ST-1,2.0,67.5,0.2
T-1290,07/04/2023,CUST-132,P003,ST-2,4.0,120.0,0.1
T-1291,2023-01-31,CUST-136,P005,ST-1,3.0,67.5,0.0
T-1292,2023-02-26,CUST-168,P003,ST-1,3.0,120.0,0.0
T-1293,2023-06-25,CUST-113,P004,ST-3,3.0,37.5,0.1
T-1294,2023-09-15,CUST-115,P002,ST-2,2.0,225.0,0.2
T-1295,2023-05-22,CUST-148,P002,ST-3,3.0,225.0,0.0
T-1296,2023-11-06,CUST-198,P003,ST-5,4.0,120.0,0.2
T-1297,2023-09-06,CUST-195,P002,ST-3,5.0,225.0,0.0
T-1298,2023-09-18,CUST-200,P005,ST-4,1.0,67.5,0.0
T-1299,2023-05-02,CUST-144,P004,ST-3,2.0,37.5,0.0
T-1300,09/01/2023,CUST-131,P004,ST-2,,37.5,0.0
T-1301,2023-05-31,CUST-111,P005,ST-1,2.0,67.5,0.2
T-1302,2023-07-08,CUST-166,P001,ST-4,3.0,300.0,0.1
T-1303,2023-06-08,CUST-160,P003,ST-3,4.0,120.0,0.0
T-1304,2023-08-09,CUST-146,P001,ST-4,4.0,300.0,0.0
T-1305,2023-12-19,CUST-176,P005,ST-2,5.0,67.5,0.0
T-1306,2023-04-30,CUST-182,P005,ST-5,2.0,67.5,0.2
T-1307,2023-06-10,CUST-183,P004,ST-3,4.0,37.5,0.0
T-1308,2023-02-21,CUST-163,P002,ST-5,1.0,225.0,0.2
T-1309,2023-12-01,CUST-143,P005,ST-2,4.0,67.5,0.0
T-1310,22/11/2023,CUST-140,P005,ST-5,2.0,67.5,0.0
T-1311,2023-09-21,CUST-101,P001,ST-3,3.0,300.0,0.0
T-1312,2023-09-16,CUST-155,P001,ST-4,4.0,300.0,0.2
T-1313,2023-01-29,CUST-141,P003,ST-5,2.0,120.0,0.2
T-1314,2023-02-22,CUST-158,P002,ST-4,3.0,225.0,0.1
T-1315,2023-07-27,CUST-130,P001,ST-3,3.0,300.0,0.0
T-1316,2023-10-29,CUST-156,P001,ST-5,1.0,300.0,0.1
T-1317,2023-11-13,CUST-110,P004,ST-5,2.0,37.5,0.0
T-1318,2023-11-24,CUST-116,P003,ST-4,1.0,120.0,0.0
T-1319,2023-04-23,CUST-143,P002,ST-5,4.0,225.0,0.0
T-1320,23/09/2023,CUST-173,P004,ST-1,5.0,37.5,0.0
T-1321,2023-04-08,CUST-178,P005,ST-3,5.0,67.5,0.2
T-1322,2023-02-19,CUST-113,P005,ST-1,1.0,67.5,0.0
T-1323,2023-01-08,CUST-133,P005,ST-3,2.0,67.5,0.1
T-1324,2023-04-04,CUST-125,P004,ST-4,2.0,37.5,0.0
T-1325,2023-03-27,CUST-190,P005,ST-4,4.0,67.5,0.2
T-1326,2023-08-23,CUST-161,P004,ST-5,3.0,37.5,0.0
T-1327,2023-07-20,CUST-182,P005,ST-3,5.0,67.5,0.2
T-1328,2023-08-07,CUST-133,P005,ST-3,5.0,67.5,0.1
T-1329,2023-02-22,CUST-110,P004,ST-2,2.0,37.5,0.0
T-1330,14/09/2023,CUST-141,P002,ST-3,1.0,225.0,0.2
T-1331,2023-03-07,CUST-132,P003,ST-5,4.0,120.0,0.0
T-1332,2023-09-03,CUST-158,P003,ST-2,2.0,120.0,0.0
T-1333,2023-01-29,CUST-159,P002,ST-1,3.0,225.0,0.0
T-1334,2023-06-04,CUST-164,P001,ST-2,5.0,300.0,0.0
T-1335,2023-05-26,CUST-127,P004,ST-2,2.0,37.5,0.0
T-1336,2023-07-12,CUST-176,P004,ST-3,2.0,37.5,0.0
T-1337,2023-04-19,CUST-130,P004,ST-5,2.0,37.5,0.0
T-1338,2023-03-26,CUST-105,P005,ST-2,2.0,67.5,0.0
T-1339,2023-03-13,CUST-156,P004,ST-5,5.0,37.5,0.0
T-1340,26/08/2023,CUST-127,P003,ST-5,4.0,120.0,0.0
T-1341,2023-07-11,CUST-126,P004,ST-2,2.0,37.5,0.0
T-1342,2023-03-26,CUST-104,P001,ST-3,2.0,300.0,0.0
T-1343,2023-10-30,CUST-106,P002,ST-2,5.0,225.0,0.2
T-1344,2023-03-22,CUST-119,P005,ST-1,3.0,67.5,0.1
T-1345,2023-07-24,CUST-147,P003,ST-5,4.0,120.0,0.1
T-1346,2023-07-11,CUST-136,P003,ST-5,2.0,120.0,0.0
T-1347,2023-08-30,CUST-172,P002,ST-5,2.0,225.0,0.0
T-1348,2023-12-06,CUST-192,P005,ST-2,5.0,67.5,0.0
T-1349,2023-10-16,CUST-161,P002,ST-1,4.0,225.0,0.2
T-1350,18/10/2023,CUST-118,P003,ST-3,,120.0,0.0
T-1351,2023-01-19,CUST-119,P001,ST-2,4.0,300.0,0.0
T-1352,2023-09-11,CUST-162,P002,ST-1,5.0,225.0,0.0
T-1353,2023-11-02,CUST-146,P001,ST-5,3.0,300.0,0.0
T-1354,2023-09-09,CUST-131,P003,ST-5,4.0,120.0,0.0
T-1355,2023-05-10,CUST-165,P002,ST-3,2.0,225.0,0.1
T-1356,2023-03-03,CUST-109,P001,ST-2,5.0,300.0,0.0
T-1357,2023-01-22,CUST-186,P005,ST-2,5.0,67.5,0.0
T-1358,2023-10-21,CUST-172,P001,ST-1,4.0,300.0,0.0
T-1359,2023-06-03,CUST-163,P005,ST-3,5.0,67.5,0.1
T-1360,04/02/2023,CUST-131,P002,ST-3,1.0,225.0,0.2
T-1361,2023-01-25,CUST-163,P003,ST-5,4.0,120.0,0.1
T-1362,2023-05-28,CUST-154,P001,ST-4,4.0,300.0,0.0
T-1363,2023-02-21,CUST-140,P001,ST-4,5.0,300.0,0.2
T-1364,2023-04-23,CUST-185,P001,ST-1,4.0,300.0,0.1
T-1365,2023-10-12,CUST-199,P005,ST-4,4.0,67.5,0.2
T-1366,2023-12-25,CUST-165,P001,ST-4,1.0,300.0,0.0
